indice_tiempo,produccion_gas_natural_cuenca_austral,produccion_gas_natural_cuenca_gsj,produccion_gas_natural_cuenca_neuquina,produccion_gas_natural_cuenca_noroeste,produccion_gas_natural_cuenca_cuyana,produccion_gas_natural_total,produccion_gas_natural_total_diario,produccion_shale_gas,produccion_tight_gas,participacion_no_convencional
2016-06,892482.5643,460651.8383,2141822.2136,222454.7085,4113.4891,3721524.8138,124.0508,126280.378832,727747.8203722181748,22.9483
2016-07,937312.8379,486612.6286,2237443.6515,228611.1919,4435.3564,3894415.6663,125.6263,137399.986472,764507.5626025105564,23.1590
2016-08,935667.1203,482014.5633,2222652.8485,225813.1340,4502.6912,3870650.3573,124.8597,142895.735048,764274.9748416020109,23.4372
2016-09,901979.6686,461995.8479,2136427.1306,215117.3172,4331.9144,3719851.8787,123.9951,135884.325611,735552.5254863378354,23.4267
2016-10,920392.7480,479336.0092,2240091.1951,219059.9703,4198.7387,3863078.6613,124.6154,155698.471515,791004.0504469971467,24.5064
2016-11,835128.7551,467064.4640,2119859.6454,210972.9569,4030.2517,3637056.0731,121.2352,147214.148937,756904.2293069730194,24.8585
2016-12,878217.2212,472257.3760,2195474.3576,214555.8474,3825.8617,3764330.6639,121.4300,153623.849691,784773.4588061018145,24.9287
2017-01,910261.2793,470574.1100,2215900.2394,214871.0656,4390.2040,3815996.8983,123.0967,158346.58375,795378.9138264123334,24.9928
2017-02,652088.5484,425334.8075,1999013.2967,193729.5535,3723.0377,3273889.2438,116.9246,143825.241792,722571.0024565659506,26.4638
2017-03,916305.2260,462853.2439,2194132.0553,211337.3976,4195.3741,3788823.2969,122.2201,172736.48510,797961.5288277731222,25.6200
2017-04,890076.9236,431358.4495,2169766.0245,203406.5770,3996.1721,3698604.1467,123.2868,171835.45877,799630.242447902152,26.2657
2017-05,876745.0849,461300.1980,2235178.8980,208062.5106,4124.0716,3785410.7631,122.1100,183536.933506,826469.5564141626136,26.6816
2017-06,879096.8291,436311.5726,2151746.1826,197862.6806,3758.2511,3668775.5160,122.2925,179132.023821,795270.0472068208511,26.5593
2017-07,932777.1635,446867.7969,2239069.1812,202551.8481,3934.1465,3825200.1362,123.3936,190578.96116,836997.4378282227826,26.8633
2017-08,931474.7163,451705.0943,2250940.0667,200391.1529,3991.1482,3838502.1784,123.8227,191138.887696,855688.8560929950589,27.2718
2017-09,890732.5602,440807.2837,2200257.7031,191379.9824,4083.6612,3727261.1906,124.2420,190277.58002,825700.6297396967741,27.2580
2017-10,964437.8170,450368.1072,2232011.9237,196293.5216,4059.8135,3847171.1830,124.1023,225849.41006,839080.9791584441204,27.6809
2017-11,871092.4327,428210.8212,2065508.7833,187751.7900,3844.8189,3556408.6461,118.5470,226093.857387,762915.0677962873633,27.8092
2017-12,966965.6590,442569.4077,2187681.8786,193198.4353,4318.7222,3794734.1028,122.4108,257117.64553,836636.8388113279743,28.8230
2018-01,971348.8593,440588.2678,2237934.7034,191083.0689,4440.8157,3845395.7151,124.0450,284055.549798,865811.1143046322616,29.9024
2018-02,840996.8234,389427.0396,2095118.4954,165962.2560,3988.8159,3495493.4303,124.8391,323362.60397,795357.2073708224523,32.0046
2018-03,945715.6674,433756.9364,2338852.0427,179273.5193,4312.2948,3901910.4606,125.8681,400631.5423600000000,885057.348071220787,32.9502
2018-04,957017.6847,414539.0269,2333228.2071,168447.2146,4238.1506,3877470.2839,129.2490,414724.0784102293591,881973.8510343989384,33.4419
2018-05,995247.8307,413614.2879,2350867.6348,181682.0853,4073.6408,3945485.4795,127.2737,481252.36004000000065,845878.7125164601067,33.6367
2018-06,987577.0035,398422.3161,2400801.5986,176058.5994,4028.1737,3966887.6913,132.2296,524576.0472099999991,898403.9775626824657,35.8714
2018-07,1028396.5852,416507.0979,2465718.7362,181561.4290,4179.9222,4096363.7705,132.1408,555943.493215,902289.5028234104256,35.5982
2018-08,1036868.6823,412271.1330,2512559.7162,182083.3631,4194.2583,4147977.1529,133.8057,634646.3634210000011,882764.3569814765172,36.5819
2018-09,985353.3949,407643.7906,2385061.6472,172112.2739,3840.4157,3954011.5223,131.8004,676549.4166399999943,795787.5511235738755,37.2365
2018-10,1025904.9509,405969.2785,2491855.0642,175659.1519,3925.4038,4103313.8493,132.3650,773119.9735900000044,781913.2392823889110,37.8970
2018-11,763919.8696,402455.8368,2359413.7193,167395.4650,3705.8118,3696890.7025,123.2297,801587.3744139999940,701211.2623742914783,40.6503
2018-12,983091.9956,412907.2230,2422651.6884,167675.3331,4041.1405,3990367.3806,128.7215,856781.8888359999998,727045.3125333506619,39.6913
2019-01,966655.7903,406105.4750,2460131.3406,163318.5963,3988.8752,4000200.0774,129.0387,892020.02042416277901,750845.12921198205321,41.0696
2019-02,891634.8423,370879.6592,2360072.9984,144338.7839,3660.0503,3770586.3341,134.6638,871367.22280145767435,688906.77352822933314,41.3801
2019-03,998957.6042,412968.0207,2440365.4224,157687.1242,4132.4018,4014110.5733,129.4874,907384.9738569999999,726249.94848171396084,40.6973
2019-04,970570.9347,395673.5707,2424397.1193,154235.8215,3960.8433,3948838.2895,131.6279,864191.8956160000017,747836.195856,40.8228
2019-05,1054441.4503,403832.1863,2624905.7915,158373.2511,4231.6723,4245784.3515,136.9608,932413.225364999997,837169.448635,41.6786
2019-06,1022900.3939,394972.6274,2625055.1052,152997.0387,3940.8988,4199866.0640,139.9955,981702.9358959999987,844232.224180,43.4760
2019-07,1087216.7938,405153.2738,2825676.2937,154779.8666,4154.4790,4476980.7069,144.4187,1081010.7276039999968,878911.11780,43.7778
